steps,time_in_bed_hours,active_cals_kcal,exercise_min,nonsedentary_hours,daylight_hours,distance_m,flights,resting_hr_bpm
12328.0,8.683333333333334,2.301,147.0,15.316666666666666,1.639678474030693,9120.0,8.0,60.0
10962.0,7.483333333333333,2.579,0.0,16.516666666666666,1.9258177835274246,7952.0,3.0,51.0
9608.0,10.133333333333333,2.783,23.0,13.866666666666667,1.5176153313396055,6927.0,9.0,59.0
9898.0,9.766666666666667,2.543,0.0,14.233333333333333,1.3812935439764498,7767.0,8.0,55.0
8363.0,7.683333333333334,2.299,61.0,16.316666666666666,0.973967628494866,6379.0,0.0,58.0
11115.0,8.15,4.116,0.0,15.85,1.5792636856751496,8698.0,0.0,61.0
8862.0,0.0,0.0,97.0,24.0,1.9777312203432407,6643.0,11.0,0.0
6935.0,16.666666666666668,4.757,20.0,7.333333333333332,0.5,5379.0,0.0,58.5
6805.0,7.85,2.831,28.0,16.15,2.072855270183274,4961.0,9.0,53.0
10431.0,8.65,2.972,0.0,15.35,1.9088852619532644,8986.0,5.0,55.0
13947.0,14.9,5.686,127.0,9.1,0.5,9367.0,16.0,58.0
10399.0,9.466666666666667,3.068,0.0,14.533333333333333,1.4674540870867443,8455.0,5.0,52.0
9703.0,8.316666666666666,2.531,170.0,15.683333333333334,2.36532430346328,7941.0,12.0,65.0
10714.0,9.166666666666666,2.177,0.0,14.833333333333334,2.324789950560758,7579.0,6.0,54.0
13265.0,7.5,2.891,20.0,16.5,2.468085790019667,11427.0,9.0,52.0
10548.0,7.783333333333333,2.8,0.0,16.21666666666667,1.7489059114976888,8436.0,12.0,59.0
8972.0,8.066666666666666,2.689,0.0,15.933333333333334,1.1018016037549276,7165.0,5.0,55.0
12765.0,7.866666666666666,3.652,0.0,16.133333333333333,0.9547441541826909,9592.0,14.0,59.0
11071.0,8.05,2.965,0.0,15.95,1.9362234333252504,8183.0,2.0,60.0
13839.0,9.983333333333333,3.775,0.0,14.016666666666667,1.7671626907222808,10234.0,10.0,61.0
